"","C1","C2","INT_S1_D0_E1","P_S1_D0_E1","INT_S1_D0_E2","P_S1_D0_E2","INT_S1_D0_E3","P_S1_D0_E3","INT_S1_D0_E4","P_S1_D0_E4","INT_S1_D1_E1","P_S1_D1_E1","INT_S1_D1_E2","P_S1_D1_E2","INT_S1_D1_E3","P_S1_D1_E3","INT_S1_D1_E4","P_S1_D1_E4","INT_S2_D0_E1","P_S2_D0_E1","INT_S2_D0_E2","P_S2_D0_E2","INT_S2_D0_E3","P_S2_D0_E3","INT_S2_D0_E4","P_S2_D0_E4","INT_S2_D1_E1","P_S2_D1_E1","INT_S2_D1_E2","P_S2_D1_E2","INT_S2_D1_E3","P_S2_D1_E3","INT_S2_D1_E4","P_S2_D1_E4","INT_S3_D0_E1","P_S3_D0_E1","INT_S3_D0_E2","P_S3_D0_E2","INT_S3_D0_E3","P_S3_D0_E3","INT_S3_D0_E4","P_S3_D0_E4","INT_S3_D1_E1","P_S3_D1_E1","INT_S3_D1_E2","P_S3_D1_E2","INT_S3_D1_E3","P_S3_D1_E3","INT_S3_D1_E4","P_S3_D1_E4"
"1",-2.2,3,0,0,0,0,-1373,1,0,0,0,0,0,0,-2422.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6718.1,1,0,0,0,0,0,0,0,0,0,0,-7757.4,1,0,0
"2",-2.2,3.1,0,0,0,0,0,0,0,0,0,0,-38765.8,1,0,0,0,0,0,0,0,0,0,0,0,0,-60421,1,-34607.4,1,-43716.8,1,0,0,0,0,-1584.1,1,0,0,0,0,0,0,0,0,0,0,-6839.8,1
"3",-2.2,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-46961.6,1,0,0,0,0,-53291.6,1,-4827.4,1,0,0,0,0
"4",-2.2,4.1,0,0,0,0,-29655,1,-32129.8,1,0,0,0,0,0,0,-33825.6,1,0,0,-63239.9,1,0,0,-19969.1,1,0,0,0,0,0,0,0,0,-59250.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",-2.2,4.8,0,0,-21372.4,1,-72465.8,1,0,0,0,0,0,0,1021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",-2.1,3,0,0,0,0,0,0,-3603.2,1,0,0,0,0,0,0,-540,1,-476.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-39567.8,1,0,0,0,0,-39396.7,1,0,0,0,0,0,0
"7",-2.1,3.1,-1120,1,0,0,0,0,0,0,-70556.8,1,-132337.3,1,0,0,0,0,0,0,-49636.4,1,-177,1,-50718.4,1,0,0,0,0,0,0,0,0,0,0,0,0,-68212.7,1,0,0,0,0,-41346.6,1,0,0,0,0
"8",-2.1,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1405,1,0,0,0,0,0,0
"9",-2.1,4.1,-42186.6,1,-20783.1,1,-41439.2,1,-49596.6,1,0,0,0,0,0,0,0,0,-32006.1,1,0,0,0,0,-425.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71512.2,1
"10",-2.1,4.8,-6085,1,0,0,0,0,0,0,0,0,0,0,-25103.4,1,-47974,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",-2.1,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-788,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",-2,3,0,0,-70171.3,1,-2182.6,1,-866.6,1,-51445.9,1,0,0,0,0,0,0,-46070.6,1,-42356.8,1,0,0,0,0,0,0,0,0,0,0,0,0,-8042.2,1,-11982.6,1,0,0,0,0,0,0,-4507.2,1,-42325,1,-10157.8,1
"13",-2,3.1,0,0,0,0,0,0,0,0,-738.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-530.4,1,0,0,0,0,-8583.3,1,0,0,0,0,0,0,0,0,0,0
"14",-2,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-97198,1,-83429.3,1,0,0,-719.3,1,0,0,0,0,-88013.2,1
"15",-2,4.1,0,0,-43917,1,-5589,1,0,0,-57878.4,1,-73937,1,-2256.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",-2,4.8,0,0,0,0,-816.6,1,0,0,-29098.1,1,-545.4,1,-52961.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",-2,4.9,0,0,-9203,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",-1.9,3,0,0,0,0,0,0,0,0,0,0,-1520.2,1,-1697.3,1,-51442.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-46380.1,1,0,0,-47243.7,1,0,0
